0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.33583e-64,4.48467e-65,1.50553e-65,5.0539e-66,1.69646e-66,5.69426e-67,1.91122e-67,6.41452e-68,2.15277e-68,7.22455e-69,2.4244e-69,8.13539e-70,2.72981e-70,9.15944e-71,3.07317e-71,1.03106e-71,3.45912e-72,1.16046e-72,3.8929e-73,1.30587e-73,4.38037e-74,1.46928e-74,4.92811e-75,1.65288e-75,5.54349e-76,1.85913e-76,6.23478e-77,2.09082e-77,7.01125e-78,2.35104e-78,7.88329e-79,2.64327e-79,8.86257e-80,2.97141e-80,9.96213e-81,3.33985e-81,1.11966e-81,3.75348e-82,1.25825e-82,4.21779e-83,1.41381e-83,4.73894e-84,1.5884e-84,5.32383e-85,1.78434e-85,5.9802e-86,2.0042e-86,6.71669e-87,2.2509e-87,7.54302e-88,2.52768e-88,8.47006e-89,2.83817e-89,9.50998e-90,3.18646e-90,1.06764e-90,3.57711e-91,1.19847e-91,4.01523e-92,1.34519e-92,4.50654e-93,1.50971e-93
1.96743e-61,6.69911e-62,2.28071e-62,7.76355e-63,2.64233e-63,8.99188e-64,3.05952e-64,1.04086e-64,3.54059e-65,1.2042e-65,4.09509e-66,1.39242e-66,4.73391e-67,1.60921e-67,5.46956e-68,1.85882e-68,6.31636e-69,2.14607e-69,7.29069e-70,2.47652e-70,8.4113e-71,2.8565e-71,9.69963e-72,3.29327e-72,1.11802e-72,3.79511e-73,1.28811e-73,4.37151e-74,1.48343e-74,5.03331e-75,1.70764e-75,5.79287e-76,1.96493e-76,6.66434e-77,2.26008e-77,7.66385e-78,2.59853e-78,8.80984e-79,2.98652e-79,1.01233e-79,3.43115e-80,1.16283e-80,3.94053e-81,1.33522e-81,4.52389e-82,1.53261e-82,5.19178e-83,1.75858e-83,5.95622e-84,2.01717e-84,6.83092e-85,2.31302e-85,7.83147e-86,2.65139e-86,8.97568e-87,3.03828e-87,1.02838e-87,3.48053e-88,1.17789e-88,3.98594e-89,1.34872e-89,4.56335e-90
8.94269e-59,3.08772e-59,1.06586e-59,3.6784e-60,1.26915e-60,4.37788e-61,1.50978e-61,5.20552e-62,1.79439e-62,6.18401e-63,2.13073e-63,7.33995e-64,2.52792e-64,8.70448e-65,2.99661e-65,1.0314e-65,3.54926e-66,1.22112e-66,4.20044e-67,1.44459e-67,4.96718e-68,1.70762e-68,5.86939e-69,2.01703e-69,6.93027e-70,2.38073e-70,8.17694e-71,2.80798e-71,9.64099e-72,3.30958e-72,1.13593e-72,3.89811e-73,1.33747e-73,4.5882e-74,1.57372e-74,5.39691e-75,1.85051e-75,6.34409e-76,2.1746e-76,7.45282e-77,2.55386e-77,8.74996e-78,2.99744e-78,1.02667e-78,3.51598e-79,1.20392e-79,4.12183e-80,1.41097e-80,4.82932e-81,1.6527e-81,5.65511e-82,1.93477e-82,6.61849e-83,2.26376e-83,7.74185e-84,2.64729e-84,9.05114e-85,3.0942e-85,1.05764e-85,3.61472e-86,1.23526e-86,4.22071e-87
1.99043e-56,6.96762e-57,2.43823e-57,8.52939e-58,2.98276e-58,1.04274e-58,3.64415e-59,1.27315e-59,4.44655e-60,1.55251e-60,5.41892e-61,1.89087e-61,6.59599e-62,2.30023e-62,8.01932e-63,2.79498e-63,9.73864e-64,3.39232e-64,1.18134e-64,4.11278e-65,1.43146e-65,4.98092e-66,1.7327e-66,6.02598e-67,2.09517e-67,7.28286e-68,2.5309e-68,8.79311e-69,3.05424e-69,1.06062e-69,3.68225e-70,1.2781e-70,4.43522e-71,1.53874e-71,5.33724e-72,1.85085e-72,6.41694e-73,2.22428e-73,7.70828e-74,2.67074e-74,9.25154e-75,3.20409e-75,1.10944e-75,3.84076e-76,1.32935e-76,4.60018e-77,1.59156e-77,5.50538e-78,1.904e-78,6.58357e-79,2.27601e-79,7.8669e-80,2.71865e-80,9.39337e-81,3.24497e-81,1.12078e-81,3.87038e-82,1.33631e-82,4.61304e-83,1.59217e-83,5.49438e-84,1.89571e-84
2.65647e-54,9.42602e-55,3.34321e-55,1.18526e-55,4.20033e-56,1.4879e-56,5.26847e-57,1.86475e-57,6.59759e-58,2.33335e-58,8.24908e-59,2.91518e-59,1.02982e-59,3.63661e-60,1.28372e-60,4.52991e-61,1.59791e-61,5.63455e-62,1.98617e-62,6.99879e-63,2.46537e-63,8.68148e-64,3.05606e-64,1.07544e-64,3.7833e-65,1.3305e-65,4.6776e-66,1.64397e-66,5.77605e-67,2.02878e-67,7.12373e-68,2.50063e-68,8.77535e-69,3.07859e-69,1.07973e-69,3.78575e-70,1.32699e-70,4.65008e-71,1.62905e-71,5.70544e-72,1.99769e-72,6.99277e-73,2.44712e-73,8.56149e-74,2.99454e-74,1.04713e-74,3.66066e-75,1.27941e-75,4.47048e-76,1.56167e-76,5.45408e-77,1.90436e-77,6.6477e-78,2.32002e-78,8.09492e-79,2.82379e-79,9.8481e-80,3.4338e-80,1.19702e-80,4.17185e-81,1.45366e-81,5.06409e-82
2.38454e-52,8.57498e-53,3.08202e-53,1.10717e-53,3.97536e-54,1.42666e-54,5.11741e-55,1.83472e-55,6.57476e-56,2.35497e-56,8.43118e-57,3.01711e-57,1.07918e-57,3.85838e-58,1.37887e-58,4.92548e-59,1.75868e-59,6.27684e-60,2.2393e-60,7.98548e-61,2.8465e-61,1.01425e-61,3.61248e-62,1.28615e-62,4.5773e-63,1.62839e-63,5.79082e-64,2.05853e-64,7.31498e-65,2.59841e-65,9.22665e-66,3.27509e-66,1.16211e-66,4.1221e-67,1.46163e-67,5.18091e-68,1.83581e-68,6.50281e-69,2.30266e-69,8.15109e-70,2.88443e-70,1.02038e-70,3.6085e-71,1.27572e-71,4.50864e-72,1.59295e-72,5.62634e-73,1.98663e-73,7.01261e-74,2.47464e-74,8.73006e-75,3.0789e-75,1.08555e-75,3.82631e-76,1.3483e-76,4.74979e-77,1.67279e-77,5.88963e-78,2.07309e-78,7.29509e-79,2.56642e-79,9.02635e-80
1.5503e-50,5.64901e-51,2.05715e-51,7.48686e-52,2.72319e-52,9.89925e-53,3.59648e-53,1.30589e-53,4.73908e-54,1.71886e-54,6.2309e-55,2.2575e-55,8.17473e-56,2.95863e-56,1.07025e-56,3.86951e-57,1.39832e-57,5.0506e-58,1.82333e-58,6.57923e-59,2.37288e-59,8.55405e-60,3.08222e-60,1.11008e-60,3.99618e-61,1.43794e-61,5.17178e-62,1.85929e-62,6.68138e-63,2.39992e-63,8.61673e-64,3.09246e-64,1.10939e-64,3.9782e-65,1.42597e-65,5.10928e-66,1.82993e-66,6.55147e-67,2.34463e-67,8.38765e-68,2.99945e-68,1.0722e-68,3.83135e-69,1.36857e-69,4.88675e-70,1.74429e-70,6.22385e-71,2.21997e-71,7.91557e-72,2.82141e-72,1.00531e-72,3.58088e-73,1.27506e-73,4.53865e-74,1.61503e-74,5.74501e-75,2.04297e-75,7.26261e-76,2.58099e-76,9.16947e-77,3.25662e-77,1.15626e-77
7.68817e-49,2.83813e-49,1.04699e-49,3.85972e-50,1.42193e-50,5.23495e-51,1.92603e-51,7.08162e-52,2.60211e-52,9.55534e-53,3.50668e-53,1.28612e-53,4.71413e-54,1.72689e-54,6.32221e-55,2.31324e-55,8.4591e-56,3.09157e-56,1.12925e-56,4.12251e-57,1.50416e-57,5.4852e-58,1.99921e-58,7.28271e-59,2.65156e-59,9.64908e-60,3.50953e-60,1.27583e-60,4.63575e-61,1.68358e-61,6.1113e-62,2.21731e-62,8.04102e-63,2.91469e-63,1.05601e-63,3.82427e-64,1.38429e-64,5.00856e-65,1.81136e-65,6.54792e-66,2.36599e-66,8.54548e-67,3.08513e-67,1.11334e-67,4.01605e-68,1.44808e-68,5.21924e-69,1.88038e-69,6.77191e-70,2.43783e-70,8.77255e-71,3.15558e-71,1.13466e-71,4.07836e-72,1.46535e-72,5.26305e-73,1.88961e-73,6.78184e-74,2.43313e-74,8.72624e-75,3.12849e-75,1.12122e-75
3.0215e-47,1.12982e-47,4.22147e-48,1.57611e-48,5.88007e-49,2.19208e-49,8.16605e-50,3.03986e-50,1.1308e-50,4.20352e-51,1.56149e-51,5.79649e-52,2.1503e-52,7.9715e-53,2.95322e-53,1.09337e-53,4.04538e-54,1.4958e-54,5.52734e-55,2.04121e-55,7.53346e-56,2.77867e-56,1.02428e-56,3.77349e-57,1.38936e-57,5.11249e-58,1.8802e-58,6.9108e-59,2.5387e-59,9.32081e-60,3.42026e-60,1.25438e-60,4.59799e-61,1.68453e-61,6.16823e-62,2.25745e-62,8.25762e-63,3.01906e-63,1.10324e-63,4.02955e-64,1.47106e-64,5.36774e-65,1.9577e-65,7.13665e-66,2.60039e-66,9.47071e-67,3.44768e-67,1.25451e-67,4.56273e-68,1.65876e-68,6.02767e-69,2.18941e-69,7.94907e-70,2.88483e-70,1.0465e-70,3.79471e-71,1.37543e-71,4.9833e-72,1.80476e-72,6.53353e-73,2.3643e-73,8.55235e-74
